Thu. Aug. 20, 2020             LANDSAT 5                 Time: 18:58
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 194 / 026

L0R Reference Image: L51KIS1011288090100_HDF.202231408
Acquisition Date: Oct 15, 2011

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
193   026   09-13-1999, 10-03-2015
193   027   09-13-1999, 07-31-2015
194   025   09-04-1999, 08-23-2015
194   026   08-24-2001, 03-13-2014
194   027   08-24-2001, 08-01-2013
195   025   09-11-1999, 10-01-2015
195   026   09-11-1999, 10-01-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1930260326_01   49.361532   11.250499   416.409       1.651     0.394     1.532     0.717
1930260327_01   49.125158   10.919476   451.852       3.837     1.893     3.371     2.625
1930260329_01   48.817242   10.656810   485.842       0.430     3.648    -0.317     3.656
1930260335_01   48.290358   10.461125   547.836       3.778     0.978     3.495     1.720
1930260341_01   48.718434   10.801333   500.014      -3.532    -5.388    -2.373    -5.985
1930260343_01   48.896620   11.147348   587.607      -2.576     4.530    -3.438     3.911
1930260344_01   49.377268   11.461123   599.946      -0.097    -1.425     0.186    -1.415
1930260345_01   48.864410   10.731485   543.819      -1.226     3.006    -1.808     2.694
1930260346_01   48.973340   10.898409   621.854      -2.366    -2.242    -1.867    -2.671
1930260347_01   49.041989   11.425861   564.354       3.632    -2.250     4.000    -1.471
1930260348_01   48.919246   11.161498   602.211       0.539    -2.638     1.053    -2.473
1930260352_01   48.839111   10.469047   490.826       2.841     5.440     1.681     5.895
1930260354_01   49.443212   11.065846   363.215       0.186     0.297     0.119     0.327
1930260355_01   48.723768   10.397181   598.106      -4.791    -1.030    -4.481    -1.975
1930260362_01   48.794871   10.674884   481.673       0.122     0.264     0.063     0.282
1930260365_01   49.409696   11.417327   587.632       4.222    -6.118     5.354    -5.138
1930260370_01   49.159859   11.212645   432.632       2.846    -1.386     3.060    -0.784
1930260373_01   48.941008   10.892663   508.670       5.370     5.221     4.199     6.191
1930260374_01   48.795759   10.454648   596.339      -1.992     1.835    -2.320     1.393
1930260375_01   49.101647   10.455283   502.498       4.564     0.037     4.457     0.955
1930260378_01   49.481488   11.229417   372.927      -2.872     1.131    -3.043     0.528
1930260385_01   48.923156   11.310358   435.697       1.665     0.944     1.434     1.259
1930260392_01   49.101592   10.972407   452.482       4.195    -6.305     5.370    -5.326
1930260394_01   48.443009   11.009910   553.024      -4.190    -4.827    -3.130    -5.571
1930260400_01   48.902985   11.266015   518.544       0.816    -3.259     1.449    -3.025
1930260403_01   49.034952   10.395016   480.371      -1.417     2.070    -1.804     1.740
1930260410_01   48.264876   10.688054   609.924       2.447    -4.855     3.370    -4.254
1930260413_01   48.229698   10.768166   563.341      -0.288     2.902    -0.873     2.780
1930260417_01   49.286730   10.564949   526.352       0.558     2.872    -0.033     2.922
1930260423_01   49.162105   10.519882   515.746       4.652     2.287     4.090     3.173
1930260426_01   49.230617   10.498145   458.158       0.731    -3.345     1.387    -3.127
1930260428_01   48.282820   10.393687   573.833       4.223     3.834     3.353     4.604
1930260430_01   48.261978   10.467989   555.721      -5.142     3.011    -5.642     1.904
1930260431_01   48.219781   10.345094   618.711       0.441     5.405    -0.664     5.375
1930260432_01   48.257282   10.317469   541.245       1.228    -1.432     1.489    -1.153
1930260437_01   49.130538   10.517343   526.671       4.939     1.037     4.622     2.009
1930260438_01   49.096459   10.418030   486.156       4.283     0.531     4.082     1.382
1930260439_01   49.454605   10.560758   455.052       2.655    -5.102     3.622    -4.459
1930260443_01   48.284727   10.323830   540.049      -2.909    -1.017    -2.642    -1.583
1930260444_01   49.294991   10.531351   477.127       4.644     1.705     4.200     2.602
1930260449_01   49.492137   10.562342   482.427       0.990     0.468     0.874     0.657
1930260471_01   48.497256   10.494605   508.426      -2.838     6.649    -4.121     5.930
1930260482_01   49.132654   10.957255   459.255       1.031    -2.159     1.439    -1.906
1930260490_01   49.036147   10.409892   481.588      -1.169     4.475    -2.046     4.142
1930260492_01   49.270522   11.540115   603.185       3.116    -4.563     3.960    -3.839
1930260496_01   49.138508   10.896144   456.461       1.325    -1.382     1.572    -1.086
1930260500_01   48.089018   10.969647   656.000       3.574     1.575     3.171     2.264
1930260502_01   49.051082   11.227528   595.701       1.192    -4.864     2.140    -4.520
1930260506_01   49.275211   11.383151   526.342       4.664     0.603     4.437     1.529
1930270029_01   48.247906   10.218279   576.330      -1.314    -2.454    -0.791    -2.666
1930270056_01   48.306403   10.145238   552.655       0.574    -1.076     0.778    -0.936
1930270105_01   48.045818   10.872977   642.275       0.511     0.747     0.343     0.833
1930270123_01   48.073202   10.899738   667.506      -2.282    -0.223    -2.192    -0.682
1930270148_01   48.086044   10.868042   623.262       1.187    -0.347     1.226    -0.100
1930270218_01   48.230476   10.094223   560.900      -0.216    -5.017     0.801    -4.951
1930270235_01   48.184913   10.767390   604.553       0.125     0.849    -0.054     0.855
1930270270_01   48.271923   10.893431   562.520      -0.685    -0.364    -0.602    -0.495
1930270375_01   48.295266   10.641414   552.197      -1.118    -4.228    -0.243    -4.363
1930270415_01   48.366811   10.300527   522.803      -1.998    -4.828    -0.981    -5.127
1930270557_01   48.360571   10.207274   530.806       1.642     4.580     0.679     4.812
1940250001_01   49.403625   11.107548   378.596      -0.889     2.054    -1.286     1.831
1940250011_01   49.505776   10.976479   342.577       1.270    -1.564     1.554    -1.277
1940250017_01   49.434280   11.080713   376.052       0.122     2.271    -0.340     2.247
1940250022_01   49.503336   10.847852   354.086       3.205     3.002     2.532     3.582
1940250027_01   49.461248   11.112953   363.752      -2.063     4.942    -3.016     4.421
1940250029_01   49.354128   11.284303   462.640       3.756    -2.932     4.260    -2.115
1940250035_01   49.474588   11.047277   367.242      -4.626    -2.176    -4.095    -3.061
1940250037_01   49.579012   10.584792   320.091      -4.651    -2.772    -3.997    -3.648
1940250048_01   49.505753   10.879470   359.278       0.876    -3.525     1.563    -3.274
1940250050_01   49.429958   11.035073   373.062      -4.163    -0.043    -4.070    -0.880
1940250060_01   49.433461   11.112186   365.272      -1.276     1.826    -1.619     1.530
1940250069_01   49.507677   10.424137   359.502       1.256     0.650     1.098     0.888
1940250073_01   49.481010   11.125441   387.208      -6.953    -2.782    -6.251    -4.122
1940250089_01   49.472780   11.328787   464.332      -0.265    -1.093    -0.044    -1.124
1940250090_01   49.439214   10.999495   352.766      -2.278    -0.467    -2.139    -0.916
1940250092_01   49.334436   11.439483   446.239      -0.419     4.169    -1.253     3.995
1940250114_01   49.499901   10.808853   348.360      -0.341     1.419    -0.621     1.320
1940250153_01   49.712928    9.213360   187.441       2.620     1.320     2.306     1.818
1940250177_01   49.527703   11.020035   336.734      -2.507     1.942    -2.847     1.396
1940250178_01   49.396447   11.039917   351.751      -2.069    -2.291    -1.568    -2.659
1940250202_01   49.496586   11.312090   396.928       0.694    -0.834     0.843    -0.678
1940250217_01   49.453084   11.300114   441.372      -1.730     1.446    -1.988     1.066
1940250230_01   49.632558    9.653028   245.409       0.017    -1.241     0.270    -1.211
1940250237_01   49.727606    9.647175   402.516       2.450     0.560     2.289     1.039
1940250239_01   49.453095   11.272750   405.036       0.476     3.629    -0.268     3.646
1940250254_01   49.487487   10.773967   393.201      -2.318     3.367    -2.947     2.829
1940250256_01   49.481485   11.229373   374.448      -4.221    -0.761    -3.983    -1.595
1940250263_01   49.494431   11.084529   373.346       0.073     4.235    -0.783     4.159
1940250265_01   49.388896   11.340932   479.609      -2.350    -0.650    -2.175    -1.110
1940250279_01   49.428270   11.354365   471.150       0.268     4.551    -0.656     4.507
1940250296_01   49.666744   10.117412   243.030      -4.559    -0.566    -4.348    -1.469
1940250303_01   49.474259   10.809105   399.489       4.784     2.256     4.227     3.169
1940250341_01   49.420046   11.002751   359.533       3.495     0.084     3.401     0.784
1940250343_01   49.477130   11.406372   469.250      -0.849     1.104    -1.058     0.909
1940250345_01   49.521113   11.147028   404.752      -2.661    -1.008    -2.406    -1.522
1940250352_01   49.493971   11.049698   352.531      -6.132     5.074    -7.025     3.733
1940250353_01   49.471985   11.086932   371.774      -2.396    -1.093    -2.129    -1.553
1940250362_01   49.462783   11.161064   365.304       2.586     0.808     2.365     1.310
1940250369_01   49.473873   11.012443   352.021      -6.881    -0.860    -6.566    -2.226
1940250384_01   49.503446   11.003833   326.894      -2.882     0.119    -2.848    -0.464
1940250386_01   49.588185   10.700376   441.675      -1.674     4.162    -2.475     3.737
1940250388_01   49.680817   10.033267   228.629      -4.305     0.811    -4.375    -0.070
